Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
50,tt0120655,2016-07-10,2016-07-10,"Kevin Smith's inquiry into the nature of good and evil is surprisingly sincere, but its vulgar snarkiness still rankled religious leaders.",Dogma,https://www.imdb.com/title/tt0120655/,movie,7.3,130,1999,"Adventure, Comedy, Drama, Fantasy",204082,1999-05-21,Kevin Smith
51,tt0020629,2016-07-10,2016-07-10,This Oscar-winning antiwar movie drew fire for portraying young German soldiers with sympathy.,All Quiet on the Western Front,https://www.imdb.com/title/tt0020629/,movie,8.0,152,1930,"Drama, War",55599,1930-04-21,Lewis Milestone
52,tt0367027,2016-07-10,2016-07-10,This drama of young bohemians in post 9/11 New York was the most sexually-graphic American movie ever released in non-porn theaters.,Shortbus,https://www.imdb.com/title/tt0367027/,movie,6.4,101,2006,"Comedy, Drama",31291,2006-05-20,John Cameron Mitchell
53,tt0209077,2016-07-10,2016-07-10,"Unsimulated sex scenes sparked accusations that filmmaker Larry Clark exploited his teenaged cast, and it was barely distributed in the US.",Ken Park,https://www.imdb.com/title/tt0209077/,movie,5.9,93,2002,Drama,28314,2002-08-31,"Edward Lachman, Larry Clark"
54,tt0054167,2016-07-10,2016-07-10,"British critics called Michael Powell's thriller about a tormented murderer perverted, necrophilic, and trashy; his career never recovered.",Peeping Tom,https://www.imdb.com/title/tt0054167/,movie,7.7,101,1960,"Drama, Horror, Thriller",29175,1960-04-07,Michael Powell
55,tt0093170,2016-07-10,2016-07-10,Inspired by grotesque medical experiments carried out by Japan's notorious Unit 731 during WWII.,Hei tai yang 731,https://www.imdb.com/title/tt0093170/,movie,6.1,105,1988,"Drama, History, Horror, War",5639,1988-12-01,Tun Fei Mou
56,tt0074102,2016-07-10,2016-07-10,Nagisa Oshima's graphic examination of sexual obsession was seized and edited by US Customs.,Ai no korÓda,https://www.imdb.com/title/tt0074102/,movie,6.6,109,1976,"Drama, Romance",17346,1976-02-29,Nagisa ‘shima
57,tt0025913,2016-07-10,2016-07-10,Leni Rienfenstahl‚??s gorgeous documentary glorified the Nazis' ideals and iconography.,Triumph des Willens,https://www.imdb.com/title/tt0025913/,movie,7.3,114,1935,"Documentary, History, War",14420,1935-03-28,Leni Riefenstahl
58,tt0097108,2016-07-10,2016-07-10,Peter Greenaway put a high-style gloss on base depravity in this cruel allegory about capitalism.,"The Cook, the Thief, His Wife & Her Lover",https://www.imdb.com/title/tt0097108/,movie,7.6,124,1989,"Crime, Drama",33461,1989-09-04,Peter Greenaway
59,tt0097216,2016-07-10,2016-07-10,"Critics worried that Spike Lee's evocation of poverty, police brutality, and racial tensions in Brooklyn would incite violence.",Do the Right Thing,https://www.imdb.com/title/tt0097216/,movie,7.9,120,1989,"Comedy, Drama",80864,1989-05-19,Spike Lee
60,tt0361596,2016-07-10,2016-07-10,Michael Moore's scathing documentary about George W. Bush's war on terror was a hit despite conservative claims that it was propaganda.,Fahrenheit 9/11,https://www.imdb.com/title/tt0361596/,movie,7.5,122,2004,"Documentary, Drama, War",124674,2004-05-17,Michael Moore
61,tt0249380,2016-07-10,2016-07-10,"A hardcore hybrid of Natural Born Killers and Thelma and Louise, this drama about two abused women who turn vigilante was banned in its native France.",Baise-moi,https://www.imdb.com/title/tt0249380/,movie,4.4,77,2000,"Crime, Drama, Thriller",16454,2000-06-28,"Coralie, Virginie Despentes"
62,tt0038969,2016-07-10,2016-07-10,"Never available on video or DVD in the US, Disney's charming animated take on Southern folklore is tainted by its live-action sequences depicting happy slaves.",Song of the South,https://www.imdb.com/title/tt0038969/,movie,7.1,94,1946,"Animation, Comedy, Family, Fantasy, Musical",10729,1946-11-12,"Harve Foster, Wilfred Jackson"
63,tt0067328,2016-07-10,2016-07-10,"Peter Bogdanovich's melancholy look at adultery, alcoholism, and promiscuity in fifties Texas divided moviegoers and critics.",The Last Picture Show,https://www.imdb.com/title/tt0067328/,movie,8.0,118,1971,"Drama, Romance",40233,1971-10-02,Peter Bogdanovich
64,tt0033467,2016-07-10,2016-07-10,"Critics loved it, but media mogul W.R. Hearst -- the inspiration for Kane - used his influence to discredit Orson Welles' groundbreaking movie.",Citizen Kane,https://www.imdb.com/title/tt0033467/,movie,8.3,119,1941,"Drama, Mystery",382599,1941-05-01,Orson Welles
65,tt0080569,2016-07-10,2016-07-10,William Friedkin's sexually frank thriller offended gay-rights activists by implying that homosexuality inevitably leads to murder.,Cruising,https://www.imdb.com/title/tt0080569/,movie,6.5,102,1980,"Crime, Drama, Mystery, Thriller",17912,1980-02-08,William Friedkin
66,tt0048973,2016-07-10,2016-07-10,The Catholic Legion of Decency condemned Tennessee Williams' lurid tale of a thumb-sucking child bride and the men who lust for her.,Baby Doll,https://www.imdb.com/title/tt0048973/,movie,7.4,114,1956,"Comedy, Drama",6495,1956-12-18,Elia Kazan
67,tt0086491,2016-07-10,2016-07-10,The deaths of actor Vic Morrow and two children while filming prompted new safety regulations.,Twilight Zone: The Movie,https://www.imdb.com/title/tt0086491/,movie,6.5,101,1983,"Horror, Sci-Fi",31770,1983-06-24,"George Miller, Joe Dante, John Landis, Steven Spielberg"
