Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
33,tt0107822,2012-07-08,2012-07-08,,The Piano,https://www.imdb.com/title/tt0107822/,movie,7.6,121,1993,"Drama, Music, Romance",76312,1993-05-15,Jane Campion
34,tt0162222,2019-06-07,2019-06-07,,Cast Away,https://www.imdb.com/title/tt0162222/,movie,7.8,143,2000,"Adventure, Drama, Romance",501445,2000-12-07,Robert Zemeckis
35,tt1193138,2012-07-08,2012-07-08,,Up in the Air,https://www.imdb.com/title/tt1193138/,movie,7.4,109,2009,"Comedy, Drama, Romance",310807,2009-09-05,Jason Reitman
36,tt1707386,2015-09-03,2015-09-03,,Les Misérables,https://www.imdb.com/title/tt1707386/,movie,7.6,158,2012,"Drama, History, Musical, Romance, War",299010,2012-12-05,Tom Hooper
37,tt0111495,2015-09-03,2015-09-03,,Trois couleurs: Rouge,https://www.imdb.com/title/tt0111495/,movie,8.1,99,1994,"Drama, Mystery, Romance",85282,1994-05-16,Krzysztof Kieslowski
38,tt0045152,2012-07-08,2012-07-08,,Singin' in the Rain,https://www.imdb.com/title/tt0045152/,movie,8.3,103,1952,"Comedy, Musical, Romance",209203,1952-03-27,"Gene Kelly, Stanley Donen"
39,tt1602620,2014-01-29,2014-01-29,,Amour,https://www.imdb.com/title/tt1602620/,movie,7.9,127,2012,"Drama, Romance",89666,2012-05-20,Michael Haneke
40,tt0309987,2015-09-03,2015-09-03,,The Dreamers,https://www.imdb.com/title/tt0309987/,movie,7.2,115,2003,"Drama, Romance",106665,2003-09-01,Bernardo Bertolucci
41,tt0783233,2012-07-08,2012-07-08,,Atonement,https://www.imdb.com/title/tt0783233/,movie,7.8,123,2007,"Drama, Mystery, Romance, War",239528,2007-08-28,Joe Wright
42,tt0203009,2012-07-08,2012-07-08,,Moulin Rouge!,https://www.imdb.com/title/tt0203009/,movie,7.6,127,2001,"Drama, Musical, Romance",260300,2001-05-09,Baz Luhrmann
43,tt0423866,2015-09-03,2015-09-03,,Bin-jip,https://www.imdb.com/title/tt0423866/,movie,8.0,88,2004,"Crime, Drama, Romance",47558,2004-09-07,Ki-duk Kim
44,tt2278871,2015-09-03,2015-09-03,,La vie d'Adèle,https://www.imdb.com/title/tt2278871/,movie,7.7,180,2013,"Drama, Romance",132620,2013-05-23,Abdellatif Kechiche
45,tt0116209,2019-06-07,2019-06-07,,The English Patient,https://www.imdb.com/title/tt0116209/,movie,7.4,162,1996,"Drama, Romance, War",173252,1996-10-31,Anthony Minghella
46,tt0959337,2012-07-08,2012-07-08,,Revolutionary Road,https://www.imdb.com/title/tt0959337/,movie,7.3,119,2008,"Drama, Romance",188342,2008-12-15,Sam Mendes
47,tt0970179,2019-06-07,2019-06-07,,Hugo,https://www.imdb.com/title/tt0970179/,movie,7.5,126,2011,"Drama, Family, Fantasy, Mystery",295960,2011-10-10,Martin Scorsese
48,tt0108394,2012-07-08,2012-07-08,,Trois couleurs: Bleu,https://www.imdb.com/title/tt0108394/,movie,7.9,94,1993,"Drama, Music, Mystery, Romance",83946,1993-09-03,Krzysztof Kieslowski
49,tt0084805,2012-07-08,2012-07-08,,Tootsie,https://www.imdb.com/title/tt0084805/,movie,7.4,116,1982,"Comedy, Drama, Romance",94162,1982-12-01,Sydney Pollack
