Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
31,tt0299658,2013-08-27,2013-08-27,2003 - 6 wins,Chicago,https://www.imdb.com/title/tt0299658/,movie,7.1,113,2002,"Comedy, Crime, Musical",209914,2002-12-10,Rob Marshall
32,tt0887912,2013-08-27,2013-08-27,2010 - 6 wins,The Hurt Locker,https://www.imdb.com/title/tt0887912/,movie,7.6,131,2008,"Drama, Thriller, War",409228,2008-09-04,Kathryn Bigelow
33,tt0025316,2013-08-27,2013-08-27,1935 - 5 wins,It Happened One Night,https://www.imdb.com/title/tt0025316/,movie,8.1,105,1934,"Comedy, Romance",89575,1934-02-22,Frank Capra
34,tt0033729,2013-08-27,2013-08-27,1942 - 5 wins,How Green Was My Valley,https://www.imdb.com/title/tt0033729/,movie,7.7,118,1941,"Drama, Family",20265,1941-10-28,John Ford
35,tt0048960,2013-08-27,2013-08-27,1957 - 5 wins,Around the World in 80 Days,https://www.imdb.com/title/tt0048960/,movie,6.8,167,1956,"Adventure, Comedy, Family, Romance",23544,1956-10-17,"John Farrow, Michael Anderson"
36,tt0053604,2013-08-27,2013-08-27,1961 - 5 wins,The Apartment,https://www.imdb.com/title/tt0053604/,movie,8.3,125,1960,"Comedy, Drama, Romance",155219,1960-06-15,Billy Wilder
37,tt0059742,2013-08-27,2013-08-27,1966 - 5 wins,The Sound of Music,https://www.imdb.com/title/tt0059742/,movie,8.0,172,1965,"Biography, Drama, Family, Musical, Romance",195613,1965-03-02,Robert Wise
38,tt0061811,2013-08-27,2013-08-27,1968 - 5 wins,In the Heat of the Night,https://www.imdb.com/title/tt0061811/,movie,7.9,110,1967,"Crime, Drama, Mystery, Thriller",64392,1967-08-02,Norman Jewison
39,tt0063385,2013-08-27,2013-08-27,1969 - 5 wins,Oliver!,https://www.imdb.com/title/tt0063385/,movie,7.4,153,1968,"Drama, Family, Musical",33282,1968-09-26,Carol Reed
40,tt0067116,2013-08-27,2013-08-27,1972 - 5 wins,The French Connection,https://www.imdb.com/title/tt0067116/,movie,7.7,104,1971,"Action, Crime, Drama, Thriller",105202,1971-10-07,William Friedkin
41,tt0073486,2013-08-27,2013-08-27,1976 - 5 wins,One Flew Over the Cuckoo's Nest,https://www.imdb.com/title/tt0073486/,movie,8.7,133,1975,Drama,878184,1975-11-19,Milos Forman
42,tt0077416,2013-08-27,2013-08-27,1979 - 5 wins,The Deer Hunter,https://www.imdb.com/title/tt0077416/,movie,8.1,183,1978,"Drama, War",299569,1978-12-08,Michael Cimino
43,tt0079417,2013-08-27,2013-08-27,1980 - 5 wins,Kramer vs. Kramer,https://www.imdb.com/title/tt0079417/,movie,7.8,105,1979,Drama,126683,1979-12-17,Robert Benton
44,tt0086425,2013-08-27,2013-08-27,1984 - 5 wins,Terms of Endearment,https://www.imdb.com/title/tt0086425/,movie,7.4,132,1983,"Comedy, Drama",52634,1983-11-20,James L. Brooks
45,tt0102926,2013-08-27,2013-08-27,1992 - 5 wins,The Silence of the Lambs,https://www.imdb.com/title/tt0102926/,movie,8.6,118,1991,"Crime, Drama, Thriller",1211612,1991-01-30,Jonathan Demme
46,tt0112573,2013-08-27,2013-08-27,1996 - 5 wins,Braveheart,https://www.imdb.com/title/tt0112573/,movie,8.3,178,1995,"Biography, Drama, History, War",931059,1995-05-18,Mel Gibson
47,tt0169547,2013-08-27,2013-08-27,2000 - 5 wins,American Beauty,https://www.imdb.com/title/tt0169547/,movie,8.3,122,1999,Drama,1036236,1999-09-08,Sam Mendes
48,tt0172495,2013-08-27,2013-08-27,2001 - 5 wins,Gladiator,https://www.imdb.com/title/tt0172495/,movie,8.5,155,2000,"Action, Adventure, Drama",1287157,2000-05-01,Ridley Scott
