Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
44,tt0075314,2017-05-23,2017-09-14,"Palme d'Or - 1976

Top Rated Movies #85 
Nominated for 4 Oscars. 
Another 21 wins & 15 nominations",Taxi Driver,https://www.imdb.com/title/tt0075314/,movie,8.3,114,1976,"Crime, Drama",689171,1976-02-08,Martin Scorsese
45,tt0076517,2017-05-23,2017-09-14,"Palme d'Or - 1977

Nominated for 1 BAFTA Film Award. 
Another 9 wins.",Padre padrone,https://www.imdb.com/title/tt0076517/,movie,7.4,113,1977,"Biography, Drama",3501,1977-05-17,"Vittorio Taviani, Paolo Taviani"
46,tt0077138,2017-05-24,2017-09-14,"Palme d'Or - 1978

18 wins & 1 nomination",L'albero degli zoccoli,https://www.imdb.com/title/tt0077138/,movie,7.9,186,1978,"Drama, History",5059,1978-05-17,Ermanno Olmi
47,tt0078788,2017-05-24,2017-09-14,"Palme d'Or - 1979

Top Rated Movies #50 
Won 2 Oscars. 
Another 18 wins & 31 nominations.",Apocalypse Now,https://www.imdb.com/title/tt0078788/,movie,8.4,147,1979,"Drama, Mystery, War",580701,1979-05-19,Francis Ford Coppola
48,tt0078875,2017-05-24,2017-09-14,"Palme d'Or - 1979

Won 1 Oscar. 
Another 15 wins & 5 nominations",Die Blechtrommel,https://www.imdb.com/title/tt0078875/,movie,7.5,142,1979,"Drama, War",21461,1979-05-03,Volker Schlöndorff
49,tt0078754,2017-05-24,2017-09-14,"Palme d'Or - 1980

Won 4 Oscars. 
Another 6 wins & 14 nominations",All That Jazz,https://www.imdb.com/title/tt0078754/,movie,7.9,123,1979,"Drama, Music, Musical",26440,1979-12-16,Bob Fosse
50,tt0080979,2017-05-24,2017-09-14,"Palme d'Or - 1980

Nominated for 2 Oscars. 
Another 20 wins & 3 nominations",Kagemusha,https://www.imdb.com/title/tt0080979/,movie,8.0,180,1980,"Drama, History, War",30483,1980-04-23,Akira Kurosawa
51,tt0082222,2017-05-24,2017-09-14,"Palme d'Or - 1981

Nominated for 1 Oscar. 
Another 6 wins & 3 nominations.",Czlowiek z zelaza,https://www.imdb.com/title/tt0082222/,movie,7.4,156,1981,"Drama, History",2918,1981-05-24,Andrzej Wajda
52,tt0084335,2017-05-24,2017-09-14,"Palme d'Or - 1982

Won 1 Oscar. 
Another 9 wins & 18 nominations.",Missing,https://www.imdb.com/title/tt0084335/,movie,7.7,122,1982,"Biography, Drama, History, Mystery, Thriller",17740,1982-02-12,Costa-Gavras
53,tt0084934,2017-05-24,2017-09-14,"Palme d'Or - 1982

Nominated for 1 Golden Globe. 
Another 6 wins & 1 nomination",Yol,https://www.imdb.com/title/tt0084934/,movie,8.2,114,1982,Drama,11776,1982-05-15,"Serif Gören, Yilmaz Güney"
54,tt0084390,2017-05-24,2017-09-14,"Palme d'Or - 1983

6 wins & 1 nomination",Narayama bushikô,https://www.imdb.com/title/tt0084390/,movie,7.9,130,1983,Drama,6840,1983-04-29,Shôhei Imamura
55,tt0087884,2017-05-24,2017-09-14,"Palme d'Or - 1984

Top Rated Movies #250 
Nominated for 1 Golden Globe. 
Another 16 wins & 9 nominations","Paris, Texas",https://www.imdb.com/title/tt0087884/,movie,8.1,145,1984,Drama,83062,1984-05-19,Wim Wenders
56,tt0089748,2017-05-24,2017-09-14,"Palme d'Or - 1985
Nominated for 1 Oscar. 
Another 6 wins & 2 nominations",Otac na sluzbenom putu,https://www.imdb.com/title/tt0089748/,movie,7.8,136,1985,Drama,8418,1985-01-15,Emir Kusturica
57,tt0091530,2017-05-24,2017-09-14,"Palme d'Or - 1986

Won 1 Oscar. 
Another 12 wins & 27 nominations",The Mission,https://www.imdb.com/title/tt0091530/,movie,7.4,125,1986,"Adventure, Drama, History",53793,1986-05-16,Roland Joffé
58,tt0094011,2017-05-24,2017-09-14,"Palme d'Or - 1987

1 win & 7 nominations",Sous le soleil de Satan,https://www.imdb.com/title/tt0094011/,movie,6.8,98,1987,"Drama, Fantasy",2763,1987-05-14,Maurice Pialat
59,tt0093713,2017-05-24,2017-09-14,"Palme d'Or - 1988

Won 1 Oscar
Another 21 wins & 7 nominations",Pelle erobreren,https://www.imdb.com/title/tt0093713/,movie,7.8,157,1987,Drama,9796,1987-12-13,Bille August
60,tt0098724,2017-05-24,2017-09-14,"Palme d'Or - 1989

Nominated for 1 Oscar
Another 15 wins & 23 nominations","Sex, Lies, and Videotape",https://www.imdb.com/title/tt0098724/,movie,7.2,100,1989,Drama,47661,1989-01-20,Steven Soderbergh
61,tt0100935,2017-05-24,2017-09-14,"Palme d'Or - 1990

Nominated for 1 Oscar. 
Another 4 wins & 6 nominations",Wild at Heart,https://www.imdb.com/title/tt0100935/,movie,7.2,125,1990,"Comedy, Crime, Drama, Thriller",79006,1990-05-19,David Lynch
62,tt0101410,2017-05-24,2017-09-14,"Palme d'Or - 1991

Nominated for 3 Oscars
Another 13 wins & 13 nominations",Barton Fink,https://www.imdb.com/title/tt0101410/,movie,7.7,116,1991,"Comedy, Drama, Thriller",109073,1991-05-18,"Joel Coen, Ethan Coen"
63,tt0104350,2017-05-24,2017-09-14,"Palme d'Or - 1992

4 wins & 7 nominations",Den goda viljan,https://www.imdb.com/title/tt0104350/,movie,7.8,180,1992,"Biography, Drama, Romance",2818,1992-05-31,Bille August
64,tt0106332,2017-05-24,2017-09-14,"Palme d'Or - 1993

Nominated for 2 Oscars
Another 18 wins & 6 nominations",Ba wang bie ji,https://www.imdb.com/title/tt0106332/,movie,8.1,171,1993,"Drama, Music, Romance",23762,1993-01-01,Kaige Chen
65,tt0107822,2017-05-24,2017-09-14,"Palme d'Or - 1993

Won 3 Oscars
Another 59 wins & 43 nominations",The Piano,https://www.imdb.com/title/tt0107822/,movie,7.6,121,1993,"Drama, Music, Romance",76312,1993-05-15,Jane Campion
66,tt0110912,2017-05-24,2017-09-14,"Palme d'Or - 1994

Top Rated Movies #7 
Won 1 Oscar
Another 60 wins & 69 nominations",Pulp Fiction,https://www.imdb.com/title/tt0110912/,movie,8.9,154,1994,"Crime, Drama",1752940,1994-05-21,Quentin Tarantino
67,tt0114787,2017-05-24,2017-09-14,"Palme d'Or - 1995

6 wins & 10 nominations",Underground,https://www.imdb.com/title/tt0114787/,movie,8.1,170,1995,"Comedy, Drama, War",53423,1995-04-01,Emir Kusturica
68,tt0117589,2017-05-24,2017-09-14,"Palme d'Or- 1996

Nominated for 5 Oscars. 
Another 33 wins & 42 nominations",Secrets & Lies,https://www.imdb.com/title/tt0117589/,movie,8.0,136,1996,"Comedy, Drama",35474,1996-05-10,Mike Leigh
69,tt0120265,2017-05-24,2017-09-14,"Palme d'Or - 1997

3 wins & 4 nominations",Ta'm e guilass,https://www.imdb.com/title/tt0120265/,movie,7.7,95,1997,Drama,21106,1997-05-16,Abbas Kiarostami
70,tt0120408,2017-05-24,2017-09-14,"Palme d'Or -1997

16 wins & 13 nominations",Unagi,https://www.imdb.com/title/tt0120408/,movie,7.4,117,1997,Drama,5292,1997-05-12,Shôhei Imamura
71,tt0156794,2017-05-24,2017-09-14,"Palme d'Or - 1998

9 wins & 3 nominations",Mia aioniotita kai mia mera,https://www.imdb.com/title/tt0156794/,movie,7.9,137,1998,Drama,9722,1998-05-23,Theodoros Angelopoulos
72,tt0200071,2017-05-24,2017-09-14,"Palme d'Or - 1999

9 wins & 7 nominations",Rosetta,https://www.imdb.com/title/tt0200071/,movie,7.5,95,1999,Drama,12229,1999-05-22,"Luc Dardenne, Jean-Pierre Dardenne"
73,tt0168629,2017-05-24,2017-09-14,"Palme d'Or - 2000

Nominated for 1 Oscar. 
Another 33 wins & 46 nominations",Dancer in the Dark,https://www.imdb.com/title/tt0168629/,movie,8.0,140,2000,"Crime, Drama, Musical",98574,2000-05-17,Lars von Trier
74,tt0208990,2017-05-24,2017-09-14,"Palme d'Or - 2001

16 wins & 26 nominations",La stanza del figlio,https://www.imdb.com/title/tt0208990/,movie,7.3,99,2001,Drama,17032,2001-03-09,Nanni Moretti
75,tt0253474,2017-05-24,2017-09-14,"Palme d'Or - 2002

Top Rated Movies #40 
Won 3 Oscars. 
Another 52 wins & 73 nominations",The Pianist,https://www.imdb.com/title/tt0253474/,movie,8.5,150,2002,"Biography, Drama, Music, War",693944,2002-05-24,Roman Polanski
76,tt0363589,2017-05-24,2017-09-14,"Palme d'Or - 2003

8 wins & 11 nominations",Elephant,https://www.imdb.com/title/tt0363589/,movie,7.2,81,2003,"Crime, Drama, Thriller",83428,2003-05-18,Gus Van Sant
77,tt0361596,2017-05-24,2017-09-14,"Palme d'Or - 2004

29 wins & 16 nominations",Fahrenheit 9/11,https://www.imdb.com/title/tt0361596/,movie,7.5,122,2004,"Documentary, Drama, War",124674,2004-05-17,Michael Moore
78,tt0456396,2017-05-24,2017-09-14,"Palme d'Or - 2005

12 wins & 19 nominations",L'enfant,https://www.imdb.com/title/tt0456396/,movie,7.5,95,2005,"Crime, Drama, Romance",17238,2005-05-17,"Luc Dardenne, Jean-Pierre Dardenne"
79,tt0460989,2017-05-24,2017-09-14,"Palme d'Or - 2006

6 wins & 23 nominations",The Wind that Shakes the Barley,https://www.imdb.com/title/tt0460989/,movie,7.5,127,2006,"Drama, War",44517,2006-05-18,Ken Loach
80,tt1032846,2017-05-24,2017-09-14,"Palme d'Or - 2007

Nominated for 1 Golden Globe. 
Another 38 wins & 55 nominations","4 luni, 3 saptamâni si 2 zile",https://www.imdb.com/title/tt1032846/,movie,7.9,113,2007,Drama,54627,2007-05-17,Cristian Mungiu
81,tt1068646,2017-05-24,2017-09-14,"Palme d'Or - 2008

Nominated for 1 Oscar. 
Another 10 wins & 27 nominations",Entre les murs,https://www.imdb.com/title/tt1068646/,movie,7.5,128,2008,Drama,33249,2008-05-24,Laurent Cantet
82,tt1149362,2017-05-24,2017-09-14,"Palme d'Or - 2009

Nominated for 2 Oscars. 
Another 58 wins & 39 nominations",Das weiße Band - Eine deutsche Kindergeschichte,https://www.imdb.com/title/tt1149362/,movie,7.8,144,2009,"Drama, History, Mystery, Thriller",66108,2009-05-21,Michael Haneke
83,tt1588895,2017-05-24,2017-09-14,"Palme d'Or - 2010

10 wins & 20 nominations",Loong Boonmee raleuk chat,https://www.imdb.com/title/tt1588895/,movie,6.7,114,2010,"Drama, Fantasy",12977,2010-05-21,Apichatpong Weerasethakul
84,tt0478304,2017-05-24,2017-09-14,"Palme d'Or - 2011

Nominated for 3 Oscars. 
Another 111 wins & 118 nominations",The Tree of Life,https://www.imdb.com/title/tt0478304/,movie,6.8,139,2011,"Drama, Fantasy",163228,2011-05-16,Terrence Malick
85,tt1602620,2017-05-24,2017-09-14,"Palme d'Or - 2012

Won 1 Oscar. 
Another 77 wins & 103 nominations",Amour,https://www.imdb.com/title/tt1602620/,movie,7.9,127,2012,"Drama, Romance",89666,2012-05-20,Michael Haneke
86,tt2278871,2017-05-24,2017-09-14,"Palme d'Or - 2013

Nominated for 1 Golden Globe. 
Another 85 wins & 94 nominations",La vie d'Adèle,https://www.imdb.com/title/tt2278871/,movie,7.7,180,2013,"Drama, Romance",132620,2013-05-23,Abdellatif Kechiche
87,tt2758880,2017-05-24,2017-09-14,"Palme d'Or - 2014

16 wins & 28 nominations",Kis Uykusu,https://www.imdb.com/title/tt2758880/,movie,8.2,196,2014,Drama,42227,2014-05-16,Nuri Bilge Ceylan
88,tt4082068,2017-05-24,2017-09-14,"Palme d'Or - 2015

Nominated for 1 BAFTA Film Award. 
Another 6 wins & 13 nominations",Dheepan,https://www.imdb.com/title/tt4082068/,movie,7.2,115,2015,"Crime, Drama",13416,2015-05-21,Jacques Audiard
89,tt5168192,2017-05-24,2017-09-14,"Palme d'Or - 2016


Won 1 BAFTA Film Award. 
Another 24 wins & 29 nominations","I, Daniel Blake",https://www.imdb.com/title/tt5168192/,movie,7.9,100,2016,Drama,49782,2016-05-13,"Laura Obiols, Ken Loach"
90,tt4995790,2017-06-04,2017-09-14,"Palme d'Or - 2017


3 wins & 2 nominations",The Square,https://www.imdb.com/title/tt4995790/,movie,7.2,151,2017,"Comedy, Drama",50510,2017-05-20,Ruben Östlund
91,tt8075192,2019-06-17,2019-06-17,"Palme d'Or - 2018

Nominated for 1 Oscar. Another 43 wins & 81",Manbiki kazoku,https://www.imdb.com/title/tt8075192/,movie,8.0,121,2018,"Crime, Drama",51794,2018-05-13,Hirokazu Koreeda
92,tt6751668,2019-06-17,2019-06-17,"Palme d'Or - 2019

2 wins & 1 nomination",Gisaengchung,https://www.imdb.com/title/tt6751668/,movie,8.6,132,2019,"Comedy, Drama, Thriller",400505,2019-05-21,Bong Joon Ho
