Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
34,tt1666801,2015-07-27,2015-07-27,,The Duff,https://www.imdb.com/title/tt1666801/,movie,6.5,101,2015,"Comedy, Romance",79642,2015-02-12,Ari Sandel
35,tt1226229,2013-03-04,2013-03-04,,Get Him to the Greek,https://www.imdb.com/title/tt1226229/,movie,6.4,109,2010,"Comedy, Music",166228,2010-05-25,Nicholas Stoller
36,tt2561572,2015-06-27,2015-06-27,,Get Hard,https://www.imdb.com/title/tt2561572/,movie,6.0,100,2015,"Comedy, Crime",117498,2015-03-16,Etan Cohen
37,tt1232200,2013-03-04,2013-03-04,,That's My Boy,https://www.imdb.com/title/tt1232200/,movie,5.5,116,2012,Comedy,87500,2012-06-04,Sean Anders
38,tt0884732,2015-06-23,2015-06-23,,The Wedding Ringer,https://www.imdb.com/title/tt0884732/,movie,6.6,101,2015,Comedy,69157,2015-01-06,Jeremy Garelick
39,tt1007028,2013-03-04,2013-03-04,,Zack and Miri Make a Porno,https://www.imdb.com/title/tt1007028/,movie,6.5,101,2008,"Comedy, Romance",169847,2008-09-07,Kevin Smith
40,tt0478311,2013-03-04,2013-03-04,,Knocked Up,https://www.imdb.com/title/tt0478311/,movie,6.9,129,2007,"Comedy, Romance",342098,2007-03-12,Judd Apatow
41,tt0396269,2013-03-04,2013-03-04,,Wedding Crashers,https://www.imdb.com/title/tt0396269/,movie,6.9,119,2005,"Comedy, Romance",324622,2005-07-13,David Dobkin
42,tt0481536,2013-03-04,2013-03-04,,Harold & Kumar Escape from Guantanamo Bay,https://www.imdb.com/title/tt0481536/,movie,6.6,114,2008,"Adventure, Comedy",128295,2008-04-24,"Jon Hurwitz, Hayden Schlossberg"
43,tt0425112,2013-03-04,2013-03-04,,Hot Fuzz,https://www.imdb.com/title/tt0425112/,movie,7.8,121,2007,"Action, Comedy, Mystery, Thriller",447029,2007-02-13,Edgar Wright
