Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
77,tt0120601,2015-08-17,2015-08-17,,Being John Malkovich,https://www.imdb.com/title/tt0120601/,movie,7.7,113,1999,"Comedy, Drama, Fantasy",299084,1999-09-02,Spike Jonze
78,tt0093748,2016-12-05,2016-12-05,,"Planes, Trains & Automobiles",https://www.imdb.com/title/tt0093748/,movie,7.6,93,1987,"Comedy, Drama",117411,1987-11-25,John Hughes
79,tt0097165,2019-06-13,2019-06-13,,Dead Poets Society,https://www.imdb.com/title/tt0097165/,movie,8.1,128,1989,"Comedy, Drama",401867,1989-06-02,Peter Weir
80,tt0098635,2015-08-17,2015-08-17,,When Harry Met Sally...,https://www.imdb.com/title/tt0098635/,movie,7.6,95,1989,"Comedy, Drama, Romance",187198,1989-07-12,Rob Reiner
81,tt0088847,2018-10-12,2018-10-12,,The Breakfast Club,https://www.imdb.com/title/tt0088847/,movie,7.9,97,1985,"Comedy, Drama",338903,1985-02-07,John Hughes
82,tt0305206,2015-03-23,2015-03-23,,American Splendor,https://www.imdb.com/title/tt0305206/,movie,7.4,101,2003,"Biography, Comedy, Drama",46647,2003-01-20,"Shari Springer Berman, Robert Pulcini"
83,tt0373074,2019-06-13,2019-06-13,,Kung fu,https://www.imdb.com/title/tt0373074/,movie,7.7,99,2004,"Action, Comedy, Fantasy",122544,2004-09-14,Stephen Chow
84,tt0107614,2012-07-15,2012-07-15,,Mrs. Doubtfire,https://www.imdb.com/title/tt0107614/,movie,7.0,125,1993,"Comedy, Drama, Family",235460,1993-11-22,Chris Columbus
85,tt0420223,2015-03-23,2015-03-23,,Stranger Than Fiction,https://www.imdb.com/title/tt0420223/,movie,7.5,113,2006,"Comedy, Drama, Fantasy, Romance",213493,2006-09-09,Marc Forster
86,tt0099088,2016-12-05,2016-12-05,,Back to the Future Part III,https://www.imdb.com/title/tt0099088/,movie,7.4,118,1990,"Adventure, Comedy, Sci-Fi, Western",385010,1990-05-25,Robert Zemeckis
87,tt0138097,2019-06-13,2019-06-13,,Shakespeare in Love,https://www.imdb.com/title/tt0138097/,movie,7.1,123,1998,"Comedy, Drama, History, Romance",208914,1998-12-03,John Madden
88,tt0119822,2019-06-13,2019-06-13,,As Good as It Gets,https://www.imdb.com/title/tt0119822/,movie,7.7,139,1997,"Comedy, Drama, Romance",266306,1997-12-06,James L. Brooks
89,tt0335245,2012-07-15,2012-07-15,,The Ladykillers,https://www.imdb.com/title/tt0335245/,movie,6.2,104,2004,"Comedy, Crime, Thriller",96852,2004-03-26,"Joel Coen, Ethan Coen"
90,tt0427327,2012-07-15,2012-07-15,,Hairspray,https://www.imdb.com/title/tt0427327/,movie,6.6,117,2007,"Comedy, Drama, Musical, Romance",116747,2007-07-10,Adam Shankman
91,tt0829482,2016-12-05,2016-12-05,,Superbad,https://www.imdb.com/title/tt0829482/,movie,7.6,113,2007,Comedy,505199,2007-08-17,Greg Mottola
92,tt1570728,2012-07-15,2012-07-15,,"Crazy, Stupid, Love.",https://www.imdb.com/title/tt1570728/,movie,7.4,118,2011,"Comedy, Drama, Romance",456605,2011-07-19,"Glenn Ficarra, John Requa"
93,tt0109686,2012-07-15,2012-07-15,,Dumb and Dumber,https://www.imdb.com/title/tt0109686/,movie,7.3,107,1994,Comedy,343227,1994-12-06,"Bobby Farrelly, Peter Farrelly"
94,tt5580036,2018-10-12,2018-10-12,,"I, Tonya",https://www.imdb.com/title/tt5580036/,movie,7.5,119,2017,"Biography, Comedy, Drama, Sport",167297,2017-09-08,Craig Gillespie
95,tt2194499,2016-12-05,2016-12-05,,About Time,https://www.imdb.com/title/tt2194499/,movie,7.8,123,2013,"Comedy, Drama, Fantasy, Romance, Sci-Fi",284412,2013-06-27,Richard Curtis
96,tt0094737,2016-12-05,2016-12-05,,Big,https://www.imdb.com/title/tt0094737/,movie,7.3,104,1988,"Comedy, Drama, Fantasy, Romance",190134,1988-06-03,Penny Marshall
97,tt0362227,2012-07-15,2012-07-15,,The Terminal,https://www.imdb.com/title/tt0362227/,movie,7.4,128,2004,"Comedy, Drama, Romance",388998,2004-06-09,Steven Spielberg
98,tt0243155,2016-12-05,2016-12-05,,Bridget Jones's Diary,https://www.imdb.com/title/tt0243155/,movie,6.7,97,2001,"Comedy, Drama, Romance",217224,2001-04-04,Sharon Maguire
99,tt0129387,2016-12-05,2016-12-05,,There's Something About Mary,https://www.imdb.com/title/tt0129387/,movie,7.1,119,1998,"Comedy, Romance",283405,1998-07-15,"Bobby Farrelly, Peter Farrelly"
100,tt1637725,2016-12-05,2016-12-05,,Ted,https://www.imdb.com/title/tt1637725/,movie,6.9,106,2012,Comedy,556689,2012-06-29,Seth MacFarlane
